entry_time,exit_time,entry_price,exit_price,size,signal,net_pnl,exit_reason
2026-04-14 16:20:00,2026-04-14 16:30:00,75176.39300000001,75211.657035,6.651024078795579e-05,3.0,-0.007347764878462941,signal_reversal
2026-04-14 17:15:00,2026-04-14 17:25:00,74828.69693500001,74669.54611499999,6.665427088024855e-05,-3.0,0.005631037713840883,signal_reversal
2026-04-14 17:45:00,2026-04-14 18:20:00,74628.34715999999,74528.71573499999,6.684183437569057e-05,-3.0,0.0016779111350722162,signal_reversal
2026-04-14 19:00:00,2026-04-14 19:20:00,74162.710095,74054.778885,6.721686990307044e-05,-3.0,0.0022770676630369585,signal_reversal
2026-04-14 20:10:00,2026-04-14 21:00:00,74376.443175,74329.836345,6.698730277836576e-05,-3.0,-0.0018570894199597594,signal_reversal
2026-04-15 02:15:00,2026-04-15 02:40:00,74491.28572500001,74313.728295,6.6792214731949e-05,3.0,0.006895875494002671,signal_reversal
2026-04-15 03:55:00,2026-04-15 05:10:00,74308.797015,74244.46368,6.698208811455537e-05,-3.0,-0.0006638680945582577,signal_reversal
2026-04-15 08:20:00,2026-04-15 08:35:00,73905.76863,74137.540245,6.72710297859388e-05,-3.0,-0.020578823894277135,signal_reversal
2026-04-15 09:05:00,2026-04-15 10:05:00,73977.102945,74171.44719,6.686077752303514e-05,3.0,-0.01795316795695939,signal_reversal
2026-04-15 10:20:00,2026-04-15 10:40:00,73942.100455,74088.67582499998,6.658273509854869e-05,3.0,-0.014692415708938441,signal_reversal
2026-04-15 12:05:00,2026-04-15 12:10:00,74097.15289000001,74238.86088,6.61786777625454e-05,3.0,-0.014291077058222693,signal_reversal
2026-04-15 13:00:00,2026-04-15 13:25:00,74195.56366,74435.289045,6.583219581631392e-05,3.0,-0.020681887011515472,signal_reversal
2026-04-15 13:40:00,2026-04-15 13:45:00,73842.24041,73962.64283999999,6.580096303553985e-05,3.0,-0.012789408973344019,signal_reversal
2026-04-15 15:45:00,2026-04-15 16:25:00,73877.072985,74132.177565,6.553105092777252e-05,-3.0,-0.021575230727286662,signal_reversal
2026-04-15 20:05:00,2026-04-15 22:00:00,74732.68496500001,75036.73962000001,6.442730863303387e-05,3.0,-0.02442383828130997,signal_reversal
2026-04-15 23:50:00,2026-04-16 00:00:00,74776.53303,74687.325,6.399851532639059e-05,-3.0,0.000929303561493065,signal_reversal
2026-04-16 00:40:00,2026-04-16 02:25:00,74732.79491,74933.95825499999,6.398437014699838e-05,-3.0,-0.01766591204805557,signal_reversal
2026-04-16 02:55:00,2026-04-16 03:15:00,74849.79638000001,75105.95421,6.358445044552107e-05,3.0,-0.02106322567149538,signal_reversal
2026-04-16 03:30:00,2026-04-16 03:55:00,74932.65493,74925.65410500001,6.316953088560717e-05,3.0,-0.004290779590048169,signal_reversal
2026-04-16 08:25:00,2026-04-16 09:15:00,74651.43561,74860.481535,6.328661171866761e-05,-3.0,-0.01796747451482265,signal_reversal
2026-04-16 09:20:00,2026-04-16 09:45:00,74838.562,74641.302,6.282515835561712e-05,-3.0,0.007703539119210177,signal_reversal
2026-04-16 10:30:00,2026-04-16 10:40:00,74435.373695,74431.197,6.320578603722622e-05,-3.0,-0.004440491021563761,signal_reversal
2026-04-16 11:30:00,2026-04-16 12:05:00,74399.54162,74702.682675,6.311330639676866e-05,-3.0,-0.023846967585982565,signal_reversal
2026-04-16 13:45:00,2026-04-16 13:55:00,74452.23526,73824.924015,6.268527037626233e-05,3.0,0.03469543968050772,signal_reversal
2026-04-16 16:30:00,2026-04-16 16:55:00,74274.853995,74212.657785,6.323926101409082e-05,3.0,-0.0007599112779381493,signal_reversal
2026-04-16 20:25:00,2026-04-16 21:45:00,75157.772315,75044.81365499999,6.242374854796493e-05,3.0,0.0023667244107267007,signal_reversal
2026-04-17 03:15:00,2026-04-17 03:55:00,74666.52806000001,74653.12791,6.280330821300411e-05,-3.0,-0.0038468896506450665,signal_reversal
2026-04-17 04:10:00,2026-04-17 04:30:00,74635.493585,74858.560575,6.27150509159654e-05,-3.0,-0.018684416073477653,signal_reversal
2026-04-17 05:50:00,2026-04-17 06:00:00,74648.93686,74725.9443,6.23907558683978e-05,-3.0,-0.00946676053694716,signal_reversal
2026-04-17 07:20:00,2026-04-17 07:25:00,74916.523,75011.27689499999,6.197937711731886e-05,3.0,-0.010521939610265865,signal_reversal
2026-04-17 15:45:00,2026-04-17 16:15:00,77452.67429,78008.45473499999,5.975409183374337e-05,3.0,-0.037871480117972166,signal_reversal
2026-04-17 16:50:00,2026-04-17 17:20:00,77806.34736500001,77254.13776499999,5.89362535739107e-05,3.0,0.0279920955585969,signal_reversal
2026-04-17 18:40:00,2026-04-17 18:50:00,77338.761275,77218.89014999999,5.959522783815196e-05,-3.0,0.002541869653692421,signal_reversal
2026-04-17 19:15:00,2026-04-17 20:10:00,77290.97518000001,77556.75899999999,5.960532826413292e-05,-3.0,-0.02046492791769141,signal_reversal
2026-04-17 20:45:00,2026-04-17 21:05:00,77282.05964,77392.166745,5.928778408517172e-05,-3.0,-0.0111164163393438,signal_reversal
2026-04-18 01:10:00,2026-04-18 01:20:00,77280.46044,77342.61198,5.908587683343194e-05,-3.0,-0.008242134282874684,signal_reversal
2026-04-18 01:30:00,2026-04-18 01:50:00,77207.37700000001,77218.41991499999,5.8975911707746154e-05,3.0,-0.005205292695153886,signal_reversal
2026-04-18 02:30:00,2026-04-18 03:40:00,77236.16260000001,77207.02421999999,5.8827583194745694e-05,3.0,-0.0028277621669095913,signal_reversal
