timestamp,open,high,low,close,volume
2026-03-06 22:45:00,1983.90,1988.90,1983.82,1986.36,13497.575
2026-03-06 23:00:00,1986.37,1986.63,1983.07,1984.85,14324.433
2026-03-06 23:15:00,1984.85,1986.40,1983.51,1985.58,9323.332
2026-03-06 23:30:00,1985.58,1985.58,1979.09,1981.05,14475.461
2026-03-06 23:45:00,1981.04,1982.06,1975.77,1977.66,19379.116
2026-03-07 00:00:00,1977.66,1981.40,1975.76,1979.00,14767.622
2026-03-07 00:15:00,1979.00,1980.64,1977.01,1977.62,7862.405
2026-03-07 00:30:00,1977.62,1982.43,1977.31,1979.12,11083.031
2026-03-07 00:45:00,1979.12,1982.00,1978.86,1980.07,7615.642
2026-03-07 01:00:00,1980.07,1982.59,1977.31,1978.97,12129.611
2026-03-07 01:15:00,1978.96,1980.14,1975.14,1978.25,14682.934
2026-03-07 01:30:00,1978.24,1979.44,1975.24,1978.72,11797.139
2026-03-07 01:45:00,1978.71,1981.86,1977.36,1979.40,10878.528
2026-03-07 02:00:00,1979.41,1979.87,1977.46,1978.11,7173.118
2026-03-07 02:15:00,1978.11,1979.38,1974.26,1974.49,12024.994
2026-03-07 02:30:00,1974.49,1976.39,1971.40,1974.07,23842.592
2026-03-07 02:45:00,1974.08,1983.78,1974.07,1982.45,44670.788
2026-03-07 03:00:00,1982.46,1995.74,1980.35,1994.15,84814.768
2026-03-07 03:15:00,1994.14,1994.14,1982.47,1982.98,49938.051
2026-03-07 03:30:00,1982.98,1984.82,1981.36,1981.85,16045.471
2026-03-07 03:45:00,1981.85,1983.30,1978.70,1979.14,12634.566
2026-03-07 04:00:00,1979.15,1979.36,1961.66,1970.00,110017.259
2026-03-07 04:15:00,1970.00,1973.88,1969.62,1972.84,19612.021
2026-03-07 04:30:00,1972.84,1978.27,1970.99,1976.52,26777.596
2026-03-07 04:45:00,1976.51,1976.70,1974.39,1974.39,9624.779
2026-03-07 05:00:00,1974.39,1978.06,1974.23,1975.51,10396.798
2026-03-07 05:15:00,1975.52,1976.28,1971.02,1975.02,13812.521
2026-03-07 05:30:00,1975.02,1978.20,1972.24,1977.56,10569.466
2026-03-07 05:45:00,1977.55,1978.92,1976.19,1977.75,9292.449
2026-03-07 06:00:00,1977.76,1977.76,1973.96,1975.01,13485.942
2026-03-07 06:15:00,1975.01,1976.62,1972.88,1973.47,11756.013
2026-03-07 06:30:00,1973.47,1975.65,1970.03,1975.45,18989.488
2026-03-07 06:45:00,1975.44,1976.10,1967.78,1970.97,22999.319
2026-03-07 07:00:00,1970.96,1972.72,1966.01,1972.13,37653.967
2026-03-07 07:15:00,1972.12,1976.79,1970.26,1974.91,21336.823
2026-03-07 07:30:00,1974.90,1977.65,1973.86,1977.05,16274.243
2026-03-07 07:45:00,1977.04,1983.89,1976.69,1982.19,34290.200
2026-03-07 08:00:00,1982.18,1982.47,1980.00,1982.30,27040.558
2026-03-07 08:15:00,1982.30,1986.83,1982.30,1984.60,38486.298
2026-03-07 08:30:00,1984.59,1986.63,1980.49,1980.96,31124.490
2026-03-07 08:45:00,1980.96,1981.30,1973.84,1976.68,25925.178
2026-03-07 09:00:00,1976.67,1983.25,1974.01,1982.77,20066.997
2026-03-07 09:15:00,1982.76,1988.47,1981.82,1982.85,32893.431
2026-03-07 09:30:00,1982.86,1984.88,1982.17,1984.32,13508.658
2026-03-07 09:45:00,1984.31,1987.22,1983.47,1985.29,14482.011
2026-03-07 10:00:00,1985.30,1987.99,1984.00,1987.38,16044.045
2026-03-07 10:15:00,1987.38,1987.57,1982.80,1983.69,16444.860
